Model,Accuracy,Precision,Recall,F1-Score,CV_Mean,CV_Std
K-Nearest Neighbors,0.3333,0.287,0.3333,0.2551,0.2778,0.1315
Random Forest,0.6667,0.7222,0.6667,0.6389,0.52,0.1181
Support Vector Machine,0.75,0.8333,0.75,0.75,0.5422,0.0518
Logistic Regression,0.75,0.9,0.75,0.7619,0.4978,0.097
Naive Bayes,0.75,0.8333,0.75,0.75,0.4978,0.1556
Ensemble (Voting),0.5833,0.7143,0.5833,0.5741,0.54,0.1369
